scramble,target,response,image_category,image_name,image_invert,image_list
False,True,"['match', 789.3961429430694]",beach,beaches_00355.jpg,True,Good
True,False,"['nonmatch', 791.8544349566763]",office,offices_00473.jpg,True,Good
True,False,"['nonmatch', 794.5224380820626]",highway,highways_20081106_00041.jpg,True,Bad
False,True,"['match', 796.8806994877347]",city,city_00281.jpg,True,Good
False,True,"['match', 799.423645967874]",office,offices_00166.jpg,True,Good
False,True,"['match', 801.980939560715]",city,city_00377.jpg,False,Bad
True,False,"['match', 804.5665579103719]",office,offices_00627.jpg,False,Good
False,True,"['nonmatch', 806.9555755666496]",office,offices_20081106_00001.jpg,False,Bad
False,True,"['match', 809.7319204835944]",city,city_00428.jpg,False,Bad
True,False,"['nonmatch', 812.4507543706288]",forest,forests_00538.jpg,True,Bad
False,True,"['match', 815.1375374725573]",beach,beaches_00306.jpg,True,Good
True,False,"['nonmatch', 817.7359287490101]",beach,beaches_00386.jpg,False,Good
False,True,"['match', 820.3797356393626]",mountain,mountains_00118.jpg,True,Bad
False,True,"['match', 822.8676004029954]",beach,beaches_20081106_00048.jpg,True,Good
False,True,"['match', 825.3691048062046]",office,offices_00281.jpg,False,Good
True,False,"['nonmatch', 827.9112412960011]",mountain,mountains_00426.jpg,False,Bad
False,True,"['match', 830.5644648832616]",forest,forests_00689.jpg,False,Good
False,True,"['match', 833.1474570312004]",city,city_20081106_00017.jpg,False,Good
True,False,"['nonmatch', 835.861730810101]",mountain,mountains_00472.jpg,False,Bad
False,True,"['nonmatch', 838.6487376242653]",highway,highways_00523.jpg,False,Bad
True,False,"['match', 841.2471957936102]",highway,highways_00132.jpg,False,Bad
True,False,"['nonmatch', 843.710196199613]",forest,forests_00495.jpg,True,Bad
False,True,"['match', 846.1771606792109]",office,offices_00555.jpg,False,Bad
True,False,"['match', 848.967538722979]",city,city_00532.jpg,False,Good
True,False,"['nonmatch', 851.5038718357677]",city,city_00165.jpg,True,Bad
True,False,"['nonmatch', 853.9616936456381]",highway,highways_00585.jpg,False,Good
True,False,"['nonmatch', 856.4284863713372]",beach,beaches_00306.jpg,False,Good
True,False,"['nonmatch', 859.0008358168009]",highway,highways_00503.jpg,True,Bad
False,True,"['match', 861.4956967833883]",office,offices_00634.jpg,True,Good
True,False,"['nonmatch', 863.9392180836667]",highway,highways_00199.jpg,True,Good
True,False,"['match', 868.4850326279243]",office,offices_00626.jpg,False,Good
False,True,"['match', 870.9230791053903]",city,city_00155.jpg,False,Bad
True,False,"['nonmatch', 873.6543212986076]",office,offices_00665.jpg,False,Bad
True,False,"['nonmatch', 876.1950470685928]",beach,beaches_00248.jpg,False,Good
False,True,"['match', 878.6642053371828]",highway,highways_00411.jpg,True,Good
True,False,"['match', 881.2990964154795]",office,offices_00625.jpg,False,Good
True,False,"['nonmatch', 883.8753677934499]",beach,beaches_00453.jpg,True,Bad
True,False,"['nonmatch', 886.3068388319148]",highway,highways_00541.jpg,True,Good
False,True,"['match', 888.7793992635142]",forest,forests_00524.jpg,True,Bad
False,True,"['match', 891.2790287610397]",beach,beaches_00362.jpg,False,Good
False,True,"['match', 893.9758133138853]",forest,forests_20081106_00085.jpg,True,Good
True,False,"['nonmatch', 896.4767484309579]",highway,highways_00512.jpg,True,Bad
True,False,"['nonmatch', 899.0092765430613]",highway,highways_00611.jpg,False,Bad
False,True,"['match', 901.4782735429845]",city,city_00313.jpg,True,Good
True,False,"['nonmatch', 903.9643062865277]",mountain,mountains_00363.jpg,False,Good
True,False,"['nonmatch', 906.6389394153559]",mountain,mountains_00718.jpg,False,Good
True,False,"['nonmatch', 909.1591904778136]",highway,highways_00402.jpg,True,Good
False,True,"['nonmatch', 911.595091901998]",mountain,mountains_00705.jpg,True,Bad
True,False,"['nonmatch', 914.5345633765401]",highway,highways_00611.jpg,True,Bad
False,True,"['nonmatch', 917.0036411686866]",beach,beaches_00447.jpg,True,Bad
True,False,"['nonmatch', 919.6907245118776]",mountain,mountains_20081106_00075.jpg,True,Good
True,False,"['nonmatch', 922.1988614377512]",highway,highways_00300.jpg,True,Good
True,False,"['nonmatch', 924.7110626470716]",highway,highways_20081106_00093.jpg,True,Good
True,False,"['match', 927.1144373525942]",mountain,mountains_00230.jpg,False,Good
True,False,"['nonmatch', 929.6094510815046]",beach,beaches_00146.jpg,True,Bad
True,False,"['nonmatch', 932.067893491925]",beach,beaches_00161.jpg,False,Good
True,False,"['nonmatch', 934.7370543215075]",forest,forests_00342.jpg,False,Bad
True,False,"['nonmatch', 937.3440596546804]",city,city_00614.jpg,False,Good
True,False,"['nonmatch', 939.7932082216408]",city,city_00614.jpg,True,Good
False,True,"['nonmatch', 942.1943153111519]",forest,forests_00486.jpg,False,Bad
True,False,"['nonmatch', 946.5003367317273]",city,city_20081106_00097.jpg,False,Bad
False,True,"['match', 949.0491115304803]",forest,forests_20081106_00088.jpg,False,Good
True,False,"['nonmatch', 951.472839623871]",highway,highways_00463.jpg,True,Good
True,False,"['nonmatch', 954.2485388409372]",beach,beaches_00508.jpg,True,Bad
False,True,"['match', 956.7373332581476]",beach,beaches_00289.jpg,False,Bad
False,True,"['match', 959.2028421751727]",beach,beaches_20081106_00066.jpg,False,Good
False,True,"['nonmatch', 961.6743595631209]",highway,highways_00388.jpg,False,Bad
True,False,"['nonmatch', 964.1828988902589]",mountain,mountains_00730.jpg,True,Bad
True,False,"['match', 966.8734293628596]",city,city_00397.jpg,True,Bad
True,False,"['nonmatch', 969.4115670479417]",mountain,mountains_00107.jpg,False,Good
True,False,"['nonmatch', 971.958181330219]",beach,beaches_20081106_00021.jpg,False,Good
True,False,"['nonmatch', 974.4437639920604]",beach,beaches_00179.jpg,False,Good
False,True,"['match', 977.0504424628833]",highway,highways_20081106_00058.jpg,False,Bad
False,True,"['match', 979.4910343371461]",highway,highways_00585.jpg,True,Good
True,False,"['nonmatch', 981.9715716543195]",city,city_00518.jpg,False,Bad
True,False,"['nonmatch', 984.4864813990557]",office,offices_00539.jpg,True,Bad
True,False,"['match', 987.0900342596212]",city,city_00498.jpg,True,Bad
False,True,"['match', 989.5988040784069]",forest,forests_00433.jpg,False,Bad
