scramble,target,response,image_category,image_name,image_invert,image_list
False,True,"['match', 932.3814122231913]",mountain,mountains_00387.jpg,True,Bad
False,True,"['match', 934.9764263153322]",mountain,mountains_00475.jpg,False,Bad
True,False,"['nonmatch', 938.1522056529628]",highway,highways_00555.jpg,False,Good
False,True,"['nonmatch', 940.5968439518945]",beach,beaches_00154.jpg,False,Good
True,False,"['match', 942.8560386003428]",city,city_00301.jpg,True,Good
False,True,"['match', 945.6385098366299]",highway,highways_00168.jpg,True,Bad
False,True,"['match', 948.2080466776271]",city,city_00132.jpg,False,Bad
True,False,"['nonmatch', 951.1928839934639]",mountain,mountains_00484.jpg,False,Bad
False,True,"['match', 953.6756885657575]",office,offices_00124.jpg,True,Good
True,False,"['nonmatch', 956.4615695892187]",city,city_20081106_00061.jpg,True,Good
True,False,"['nonmatch', 958.9629833361737]",city,city_00599.jpg,True,Good
False,True,"['match', 961.372080273275]",beach,beaches_00117.jpg,False,Good
True,False,"['nonmatch', 964.2578185291002]",forest,forests_00605.jpg,False,Bad
False,True,"['nonmatch', 966.8966878389623]",mountain,mountains_00555.jpg,False,Good
True,False,"['nonmatch', 969.7948237369636]",highway,highways_00618.jpg,False,Bad
False,True,"['nonmatch', 972.334861553036]",beach,beaches_00375.jpg,False,Good
False,True,"['match', 974.6408680390565]",office,offices_00402.jpg,True,Bad
False,True,"['match', 977.2342192916503]",office,offices_00539.jpg,True,Bad
False,True,"['match', 979.6059978847754]",office,offices_00676.jpg,True,Good
True,False,"['match', 982.3291314747427]",office,offices_20081106_00085.jpg,False,Good
False,True,"['nonmatch', 984.7029754794343]",forest,forests_00330.jpg,False,Bad
True,False,"['nonmatch', 987.4865040172559]",office,offices_00675.jpg,False,Good
True,False,"['match', 990.0623205340524]",beach,beaches_00369.jpg,False,Good
True,False,"['match', 993.625067657113]",highway,highways_20081106_00019.jpg,True,Bad
False,True,"['nonmatch', 996.6336479377395]",forest,forests_00242.jpg,False,Good
False,True,"['nonmatch', 999.867790748148]",forest,forests_00434.jpg,True,Bad
False,True,"['match', 1002.7868765073064]",forest,forests_00554.jpg,False,Bad
True,False,"['nonmatch', 1005.6037793800688]",forest,forests_20081106_00063.jpg,True,Good
