,sum_sq,df,F,PR(>F)
C(good),0.46031941402001697,1.0,0.7767693817783161,0.38053189847302815
C(invert),2.012626295503529,1.0,3.3962210493278837,0.06871282707916425
C(good):C(invert),0.06163281292836433,1.0,0.10400274361129237,0.7478429972532965
Residual,52.14946595992656,88.0,,
