scramble,target,response,image_category,image_name,image_invert,image_list
True,False,"['nonmatch', 793.7966355988104]",beach,beaches_00117.jpg,False,Good
True,False,"['nonmatch', 796.3265037201764]",forest,forests_00242.jpg,True,Good
True,False,"['nonmatch', 798.8535172124574]",beach,beaches_00344.jpg,True,Bad
False,True,"['match', 801.2227377698323]",city,city_00165.jpg,False,Bad
True,False,"['nonmatch', 804.0828251797768]",mountain,mountains_20081106_00069.jpg,True,Good
True,False,"['nonmatch', 806.4944022037693]",beach,beaches_00146.jpg,False,Bad
True,False,"['nonmatch', 808.9711128660697]",office,offices_00141.jpg,False,Good
False,True,"['match', 811.4253760826706]",office,offices_00421.jpg,True,Bad
False,True,"['match', 814.1982723233978]",beach,beaches_00146.jpg,True,Bad
False,True,"['nonmatch', 816.627774838936]",forest,forests_20081106_00088.jpg,True,Good
True,False,"['nonmatch', 819.1910825746842]",beach,beaches_00249.jpg,False,Good
False,True,"['match', 821.8110290894206]",beach,beaches_20081106_00009.jpg,True,Good
True,False,"['nonmatch', 824.5282343791353]",mountain,mountains_00257.jpg,True,Good
False,True,"['match', 826.9949834090758]",forest,forests_00365.jpg,False,Bad
True,False,"['nonmatch', 829.6094524477044]",mountain,mountains_00474.jpg,False,Bad
True,False,"['match', 832.169373246341]",city,city_00536.jpg,False,Good
False,True,"['match', 834.831371280826]",beach,beaches_00251.jpg,False,Good
False,True,"['match', 837.2546115595135]",mountain,mountains_00412.jpg,True,Good
True,False,"['nonmatch', 839.8856870129653]",mountain,mountains_00262.jpg,False,Good
True,False,"['nonmatch', 842.4691368926685]",city,city_00536.jpg,True,Good
True,False,"['nonmatch', 845.0423370747844]",beach,beaches_00398.jpg,False,Good
True,False,"['nonmatch', 847.6237497293323]",city,city_00312.jpg,True,Good
False,True,"['match', 850.058810778253]",city,city_20081106_00063.jpg,True,Good
True,False,"['nonmatch', 852.849829779456]",highway,highways_00375.jpg,False,Good
False,True,"['match', 855.1373782988037]",highway,highways_00156.jpg,False,Bad
False,True,"['match', 857.701364067032]",office,offices_00677.jpg,True,Good
True,False,"['nonmatch', 860.296377801243]",forest,forests_00341.jpg,False,Bad
True,False,"['nonmatch', 862.8377898800375]",highway,highways_00322.jpg,True,Good
False,True,"['match', 865.5717422969992]",mountain,mountains_00475.jpg,True,Bad
True,False,"['nonmatch', 868.1314583756599]",city,city_00168.jpg,False,Bad
False,True,"['match', 873.060290439083]",forest,forests_20081106_00096.jpg,True,Bad
False,True,"['match', 875.546413982156]",office,offices_00626.jpg,False,Good
True,False,"['nonmatch', 878.3980586713894]",beach,beaches_00439.jpg,False,Bad
False,True,"['match', 881.121994024594]",city,city_20081106_00017.jpg,True,Good
False,True,"['match', 883.7082454397514]",beach,beaches_00248.jpg,False,Good
True,False,"['nonmatch', 886.366720907572]",office,offices_00548.jpg,True,Bad
False,True,"['match', 888.7572319962575]",mountain,mountains_00228.jpg,False,Good
True,False,"['nonmatch', 891.3705406278821]",office,offices_00612.jpg,False,Good
True,False,"['nonmatch', 894.0068214412216]",mountain,mountains_00734.jpg,True,Bad
True,False,"['nonmatch', 896.5968584291252]",mountain,mountains_00247.jpg,True,Bad
False,True,"['match', 899.0052086640379]",forest,forests_00556.jpg,True,Bad
True,False,"['nonmatch', 901.6117312614449]",city,city_00309.jpg,True,Good
False,True,"['match', 904.2013859112477]",mountain,mountains_00178.jpg,False,Good
False,True,"['match', 906.6445628617256]",highway,highways_00508.jpg,True,Bad
False,True,"['match', 909.1430375309096]",mountain,mountains_00230.jpg,True,Good
False,True,"['match', 911.6887226451914]",city,city_00199.jpg,False,Good
True,False,"['nonmatch', 914.2957223467887]",mountain,mountains_00411.jpg,False,Bad
False,True,"['match', 916.7962573608233]",forest,forests_00460.jpg,False,Bad
True,False,"['match', 919.3665710830047]",forest,forests_00266.jpg,False,Good
True,False,"['nonmatch', 922.0194597574016]",beach,beaches_00586.jpg,True,Bad
True,False,"['nonmatch', 924.6589542955958]",city,city_00396.jpg,False,Bad
True,False,"['match', 927.0775260736483]",beach,beaches_00224.jpg,True,Good
False,True,"['match', 929.5814723868876]",city,city_00234.jpg,True,Good
False,True,"['match', 932.060285171757]",highway,highways_00202.jpg,True,Bad
False,True,"['match', 934.6470663864199]",city,city_00619.jpg,True,Good
True,False,"['nonmatch', 937.2502770868141]",city,city_00613.jpg,True,Good
False,True,"['match', 939.6192699953218]",highway,highways_00202.jpg,False,Bad
True,False,"['nonmatch', 942.2171218950077]",forest,forests_00230.jpg,True,Bad
True,False,"['nonmatch', 944.8954570901557]",beach,beaches_00151.jpg,True,Bad
False,True,"['match', 947.5160219574951]",city,city_20081106_00044.jpg,True,Bad
True,False,"['match', 952.6508325185457]",highway,highways_00437.jpg,True,Bad
True,False,"['nonmatch', 955.2470084969592]",office,offices_20081106_00085.jpg,True,Good
