scramble,target,response,image_category,image_name,image_invert,image_list
True,False,"['nonmatch', 1004.4517114066599]",beach,beaches_00243.jpg,False,Good
True,False,"['nonmatch', 1008.0398796193881]",beach,beaches_00439.jpg,True,Bad
False,True,"['match', 1010.7626052396786]",highway,highways_00202.jpg,True,Bad
False,True,"['nonmatch', 1013.7632652209654]",mountain,mountains_00734.jpg,True,Bad
True,False,"['nonmatch', 1016.932224087484]",mountain,mountains_00228.jpg,True,Good
True,False,"['match', 1020.123785342935]",beach,beaches_00154.jpg,False,Good
True,False,"['match', 1023.0370371579422]",highway,highways_00227.jpg,True,Bad
False,True,"['match', 1025.8580458331523]",mountain,mountains_00220.jpg,True,Good
True,False,"['nonmatch', 1028.8053830385456]",mountain,mountains_00730.jpg,True,Bad
True,False,"['match', 1031.5494350921456]",forest,forests_00445.jpg,True,Bad
False,True,"['match', 1034.220864824982]",office,offices_00153.jpg,True,Bad
True,False,"['match', 1036.8559998162102]",office,offices_00331.jpg,True,Bad
True,False,"['match', 1040.6433998529683]",mountain,mountains_00687.jpg,True,Good
False,True,"['match', 1043.5426240380277]",forest,forests_00318.jpg,True,Bad
True,False,"['nonmatch', 1046.3873261292208]",mountain,mountains_00742.jpg,False,Good
False,True,"['match', 1049.3110103513725]",forest,forests_20081106_00085.jpg,True,Good
True,False,"['match', 1052.0963023926083]",beach,beaches_00440.jpg,False,Bad
True,False,"['match', 1055.6224910293897]",city,city_20081106_00008.jpg,True,Good
False,True,"['match', 1058.5544871557702]",mountain,mountains_00686.jpg,False,Bad
True,False,"['match', 1062.172182709395]",mountain,mountains_00412.jpg,True,Good
True,False,"['match', 1065.810331603482]",highway,highways_00618.jpg,True,Bad
False,True,"['nonmatch', 1069.0474574510033]",forest,forests_20081106_00096.jpg,True,Bad
False,True,"['match', 1071.8158996982506]",office,offices_00512.jpg,True,Bad
False,True,"['match', 1074.5933798399358]",office,offices_00136.jpg,False,Bad
False,True,"['match', 1077.2804749678369]",office,offices_00308.jpg,True,Bad
True,False,"['nonmatch', 1080.2092090708593]",city,city_20081106_00097.jpg,False,Bad
True,False,"['nonmatch', 1083.2459942406977]",beach,beaches_00306.jpg,True,Good
False,True,"['match', 1086.1285644206446]",city,city_00305.jpg,True,Good
False,True,"['match', 1088.8104632794773]",mountain,mountains_00128.jpg,False,Bad
True,False,"['match', 1091.708313810964]",highway,highways_00409.jpg,False,Good
True,False,"['match', 1098.4408221182603]",forest,forests_00746.jpg,True,Good
True,False,"['nonmatch', 1101.573432787088]",office,offices_00243.jpg,False,Good
True,False,"['nonmatch', 1104.810444210456]",city,city_00301.jpg,True,Good
False,True,"['match', 1107.6515947746905]",highway,highways_00618.jpg,False,Bad
False,True,"['match', 1110.4889072319593]",highway,highways_00411.jpg,False,Good
False,True,"['nonmatch', 1113.8980664533592]",forest,forests_00114.jpg,True,Good
False,True,"['match', 1116.734263415816]",beach,beaches_00126.jpg,False,Good
True,False,"['nonmatch', 1121.1819725451537]",forest,forests_00556.jpg,True,Bad
True,False,"['match', 1124.029659127834]",office,offices_00402.jpg,True,Bad
False,True,"['match', 1127.9115500994135]",forest,forests_00605.jpg,False,Bad
True,False,"['match', 1130.7116718975456]",mountain,mountains_00380.jpg,True,Bad
True,False,"['match', 1133.6725817563615]",mountain,mountains_00488.jpg,False,Bad
True,False,"['nonmatch', 1136.9018440183122]",mountain,mountains_00387.jpg,True,Bad
True,False,"['nonmatch', 1139.8430874715543]",city,city_00412.jpg,True,Bad
False,True,"['nonmatch', 1142.7591871815007]",office,offices_00395.jpg,True,Good
True,False,"['nonmatch', 1145.567037712653]",mountain,mountains_20081106_00051.jpg,True,Bad
False,True,"['nonmatch', 1148.5213825834155]",highway,highways_00257.jpg,False,Bad
True,False,"['nonmatch', 1151.8227841513092]",beach,beaches_00193.jpg,True,Good
True,False,"['nonmatch', 1155.2375767449166]",office,offices_00678.jpg,True,Good
True,False,"['nonmatch', 1159.3024011635562]",mountain,mountains_00765.jpg,True,Bad
True,False,"['match', 1162.304654890645]",office,offices_00395.jpg,False,Good
True,False,"['nonmatch', 1165.3807815759135]",highway,highways_00503.jpg,False,Bad
True,False,"['nonmatch', 1169.521098705786]",beach,beaches_00185.jpg,False,Good
False,True,"['match', 1172.4289806235486]",beach,beaches_00309.jpg,True,Bad
True,False,"['match', 1176.0659209787639]",city,city_00437.jpg,True,Bad
True,False,"['nonmatch', 1180.124296194884]",city,city_00641.jpg,True,Bad
False,True,"['match', 1182.887758156756]",forest,forests_00119.jpg,False,Good
True,False,"['nonmatch', 1186.473198816394]",forest,forests_00194.jpg,False,Good
True,False,"['match', 1189.4633333818983]",beach,beaches_00463.jpg,False,Bad
True,False,"['nonmatch', 1192.5319546914839]",city,city_00379.jpg,False,Bad
False,True,"['match', 1196.7732098367612]",highway,highways_00411.jpg,True,Good
True,False,"['nonmatch', 1200.0121945855542]",mountain,mountains_00355.jpg,False,Good
True,False,"['nonmatch', 1203.3779837369468]",city,city_00626.jpg,True,Good
False,True,"['match', 1205.9799874672103]",city,city_00281.jpg,True,Good
False,True,"['match', 1208.814267421764]",city,city_00606.jpg,False,Good
False,True,"['match', 1211.694722436718]",highway,highways_00390.jpg,False,Good
False,True,"['match', 1214.7029073699687]",highway,highways_00322.jpg,False,Good
True,False,"['match', 1217.9551371355533]",beach,beaches_00375.jpg,False,Good
True,False,"['match', 1221.1617606957277]",mountain,mountains_00247.jpg,True,Bad
True,False,"['nonmatch', 1224.5470757664868]",forest,forests_00449.jpg,False,Bad
True,False,"['nonmatch', 1227.5494561300563]",forest,forests_00433.jpg,True,Bad
False,True,"['match', 1230.3856189604185]",highway,highways_00155.jpg,False,Good
True,False,"['match', 1233.3256906908823]",beach,beaches_00246.jpg,False,Bad
False,True,"['match', 1236.21105292209]",mountain,mountains_00426.jpg,False,Bad
False,True,"['match', 1239.0901517043992]",office,offices_00493.jpg,False,Bad
False,True,"['nonmatch', 1243.187417380495]",beach,beaches_00514.jpg,True,Bad
False,True,"['match', 1246.031331607492]",city,city_00576.jpg,True,Bad
True,False,"['match', 1248.826757308984]",forest,forests_00361.jpg,True,Bad
False,True,"['match', 1251.687670800822]",city,city_00396.jpg,False,Bad
False,True,"['nonmatch', 1254.4953568361432]",forest,forests_00125.jpg,True,Good
False,True,"['match', 1257.501687139062]",beach,beaches_00440.jpg,True,Bad
True,False,"['nonmatch', 1260.3094744231507]",forest,forests_00554.jpg,False,Bad
False,True,"['match', 1263.1410176611919]",forest,forests_00506.jpg,False,Bad
True,False,"['nonmatch', 1266.1700472139146]",office,offices_00539.jpg,True,Bad
True,False,"['nonmatch', 1268.9440047350922]",mountain,mountains_00207.jpg,False,Bad
False,True,"['match', 1271.818979465673]",mountain,mountains_00228.jpg,False,Good
True,False,"['match', 1274.5764089345207]",mountain,mountains_00718.jpg,False,Good
False,True,"['match', 1277.3979232099714]",office,offices_00153.jpg,False,Bad
True,False,"['nonmatch', 1280.2086236938396]",office,offices_20081106_00092.jpg,False,Bad
True,False,"['nonmatch', 1283.0607982463116]",city,city_20081106_00029.jpg,True,Bad
False,True,"['nonmatch', 1288.8181872901037]",beach,beaches_00545.jpg,False,Bad
True,False,"['match', 1293.1637646822944]",mountain,mountains_00431.jpg,True,Bad
False,True,"['match', 1295.8148529555062]",city,city_00536.jpg,False,Good
False,True,"['nonmatch', 1299.822274263421]",beach,beaches_00463.jpg,True,Bad
True,False,"['nonmatch', 1303.4386866608745]",mountain,mountains_00494.jpg,False,Bad
False,True,"['match', 1306.2798462475146]",beach,beaches_20081106_00066.jpg,False,Good
False,True,"['match', 1309.1353665886952]",beach,beaches_20081106_00073.jpg,False,Bad
True,False,"['nonmatch', 1312.0356952338307]",beach,beaches_00256.jpg,True,Good
True,False,"['nonmatch', 1315.1561873408966]",forest,forests_00330.jpg,True,Bad
True,False,"['match', 1320.8268930935155]",city,city_00199.jpg,True,Good
True,False,"['nonmatch', 1323.6371941932466]",highway,highways_00146.jpg,True,Good
True,False,"['nonmatch', 1327.2203412691517]",mountain,mountains_00657.jpg,True,Bad
True,False,"['nonmatch', 1330.7013704222152]",mountain,mountains_00363.jpg,False,Good
True,False,"['nonmatch', 1333.454874357989]",office,offices_00628.jpg,True,Good
False,True,"['nonmatch', 1336.2548508903778]",mountain,mountains_00215.jpg,True,Good
False,True,"['match', 1339.1189476550098]",mountain,mountains_00705.jpg,True,Bad
True,False,"['nonmatch', 1342.1386991595796]",beach,beaches_00201.jpg,False,Bad
True,False,"['nonmatch', 1344.9339139319309]",city,city_20081106_00076.jpg,True,Bad
False,True,"['match', 1347.8581358623917]",highway,highways_00523.jpg,True,Bad
True,False,"['nonmatch', 1350.6303038645972]",highway,highways_20081106_00058.jpg,True,Bad
False,True,"['match', 1353.5563775783196]",city,city_00317.jpg,False,Good
False,True,"['match', 1356.4542272099045]",office,offices_00165.jpg,False,Bad
True,False,"['nonmatch', 1359.37008715978]",highway,highways_20081106_00093.jpg,True,Good
True,False,"['nonmatch', 1362.3200780478187]",mountain,mountains_00433.jpg,False,Bad
True,False,"['nonmatch', 1365.0922325241015]",city,city_00159.jpg,True,Bad
False,True,"['match', 1367.9016339643447]",office,offices_20081106_00087.jpg,True,Good
True,False,"['nonmatch', 1370.691884812284]",mountain,mountains_00118.jpg,True,Bad
True,False,"['nonmatch', 1373.3805916275417]",forest,forests_00267.jpg,True,Good
False,True,"['match', 1376.2256685445523]",highway,highways_00611.jpg,True,Bad
True,False,"['match', 1380.6821455471086]",forest,forests_00746.jpg,False,Good
True,False,"['match', 1386.2929903102704]",office,offices_00308.jpg,False,Bad
True,False,"['match', 1389.3234353628177]",office,offices_00166.jpg,True,Good
False,True,"['match', 1392.4885709144376]",forest,forests_00463.jpg,True,Bad
True,False,"['nonmatch', 1395.599118197524]",city,city_00498.jpg,True,Bad
True,False,"['nonmatch', 1398.3059307379995]",city,city_00401.jpg,False,Bad
True,False,"['nonmatch', 1400.9809003893001]",office,offices_00625.jpg,False,Good
True,False,"['nonmatch', 1403.8047402773554]",office,offices_00652.jpg,False,Bad
True,False,"['nonmatch', 1406.89191147249]",highway,highways_00422.jpg,True,Good
True,False,"['nonmatch', 1409.704736850512]",city,city_00660.jpg,False,Good
False,True,"['match', 1412.6062671073164]",city,city_20081106_00066.jpg,False,Good
True,False,"['nonmatch', 1415.8186648316653]",highway,highways_20081106_00084.jpg,True,Bad
True,False,"['nonmatch', 1418.704983207298]",highway,highways_00437.jpg,True,Bad
True,False,"['match', 1421.8207722704717]",highway,highways_00453.jpg,True,Bad
True,False,"['nonmatch', 1424.6465218131693]",forest,forests_00520.jpg,True,Bad
False,True,"['match', 1427.7010784581712]",highway,highways_00222.jpg,True,Good
False,True,"['match', 1431.4355856567142]",city,city_20081106_00039.jpg,True,Bad
True,False,"['nonmatch', 1434.4032568110808]",highway,highways_00416.jpg,True,Good
True,False,"['nonmatch', 1437.3855240747857]",beach,beaches_00447.jpg,True,Bad
False,True,"['match', 1440.6477789159746]",mountain,mountains_00577.jpg,True,Good
True,False,"['nonmatch', 1443.471761210339]",highway,highways_20081106_00058.jpg,False,Bad
False,True,"['match', 1446.2681693990075]",office,offices_00368.jpg,True,Bad
False,True,"['match', 1449.102000438422]",mountain,mountains_00380.jpg,False,Bad
True,False,"['nonmatch', 1451.9641323359676]",city,city_00614.jpg,False,Good
False,True,"['match', 1454.860792854589]",forest,forests_00266.jpg,False,Good
True,False,"['nonmatch', 1457.7657494678451]",beach,beaches_00185.jpg,True,Good
False,True,"['match', 1460.5547454796076]",beach,beaches_00571.jpg,False,Bad
False,True,"['nonmatch', 1463.4626994459575]",forest,forests_20081106_00001.jpg,True,Good
True,False,"['nonmatch', 1466.179142394279]",beach,beaches_00506.jpg,False,Bad
False,True,"['match', 1468.9888302183756]",highway,highways_00409.jpg,True,Good
False,True,"['match', 1472.3031124733088]",beach,beaches_00256.jpg,False,Good
False,True,"['match', 1477.9070423969524]",mountain,mountains_00220.jpg,False,Good
True,False,"['nonmatch', 1480.4874101324956]",beach,beaches_00545.jpg,True,Bad
True,False,"['nonmatch', 1483.3540603806118]",mountain,mountains_00339.jpg,True,Good
False,True,"['nonmatch', 1486.310945549782]",forest,forests_00599.jpg,True,Good
False,True,"['match', 1489.077847622262]",city,city_00132.jpg,False,Bad
True,False,"['nonmatch', 1491.8744890277524]",beach,beaches_00224.jpg,True,Good
True,False,"['nonmatch', 1494.9354896175503]",forest,forests_00587.jpg,True,Good
True,False,"['nonmatch', 1497.7568776471571]",office,offices_00656.jpg,False,Good
True,False,"['nonmatch', 1500.59763180398]",highway,highways_00593.jpg,False,Bad
True,False,"['nonmatch', 1503.4362595702662]",highway,highways_00437.jpg,False,Bad
False,True,"['match', 1505.9988657182002]",forest,forests_20081106_00100.jpg,False,Good
True,False,"['nonmatch', 1508.7041984912532]",mountain,mountains_00230.jpg,True,Good
False,True,"['match', 1511.4276256737564]",highway,highways_00515.jpg,False,Bad
True,False,"['nonmatch', 1514.1871509799334]",city,city_00536.jpg,True,Good
True,False,"['nonmatch', 1516.9713360745852]",mountain,mountains_00108.jpg,True,Good
False,True,"['match', 1519.7936465997227]",city,city_00590.jpg,True,Bad
True,False,"['nonmatch', 1522.708844741107]",highway,highways_00146.jpg,False,Good
True,False,"['nonmatch', 1526.0694399542197]",beach,beaches_00275.jpg,False,Bad
False,True,"['match', 1528.9213654859568]",office,offices_00368.jpg,False,Bad
False,True,"['match', 1531.8296265024812]",highway,highways_00536.jpg,False,Bad
False,True,"['match', 1534.6695033533274]",highway,highways_20081106_00041.jpg,False,Bad
True,False,"['nonmatch', 1537.4624575946934]",mountain,mountains_00257.jpg,True,Good
True,False,"['nonmatch', 1540.7566775559305]",city,city_00599.jpg,False,Good
True,False,"['nonmatch', 1543.8019703754323]",forest,forests_00197.jpg,True,Good
False,True,"['match', 1546.5735688610048]",beach,beaches_20081106_00048.jpg,False,Good
False,True,"['nonmatch', 1550.3763598760254]",mountain,mountains_00355.jpg,True,Good
True,False,"['nonmatch', 1553.3086839518137]",office,offices_00304.jpg,True,Good
False,True,"['match', 1557.0717597607393]",office,offices_00630.jpg,True,Bad
True,False,"['nonmatch', 1559.7485800053466]",city,city_20081106_00028.jpg,False,Good
True,False,"['nonmatch', 1562.4108536054534]",city,city_20081106_00017.jpg,False,Good
False,True,"['match', 1566.694433354497]",mountain,mountains_00514.jpg,False,Bad
True,False,"['nonmatch', 1569.433891988438]",office,offices_00243.jpg,True,Good
False,True,"['match', 1572.5255783485657]",beach,beaches_00317.jpg,True,Good
False,True,"['match', 1575.4479404126914]",beach,beaches_00266.jpg,False,Good
False,True,"['nonmatch', 1578.351810319627]",forest,forests_00355.jpg,False,Good
False,True,"['match', 1581.6456499189653]",beach,beaches_00226.jpg,False,Bad
False,True,"['match', 1584.5019595980018]",forest,forests_00433.jpg,False,Bad
False,True,"['match', 1587.4024116295468]",forest,forests_00365.jpg,False,Bad
True,False,"['nonmatch', 1590.033621403151]",office,offices_00414.jpg,True,Bad
