scramble,target,response,image_category,image_name,image_invert,image_list
False,True,"['match', 932.1037284669801]",city,city_00464.jpg,True,Bad
True,False,"['nonmatch', 935.0505025138759]",city,city_00435.jpg,True,Bad
True,False,"['nonmatch', 937.859175824286]",city,city_00294.jpg,True,Good
True,False,"['match', 941.0594351524933]",mountain,mountains_00475.jpg,False,Bad
False,True,"['match', 943.9057890666613]",mountain,mountains_00474.jpg,False,Bad
False,True,"['match', 946.9603453530219]",beach,beaches_00514.jpg,True,Bad
True,False,"['nonmatch', 949.7015190747813]",highway,highways_00205.jpg,True,Good
False,True,"['match', 952.546676694101]",beach,beaches_00317.jpg,True,Good
True,False,"['nonmatch', 955.9302246502194]",highway,highways_00351.jpg,False,Good
False,True,"['match', 958.9478583952363]",forest,forests_20081106_00052.jpg,True,Good
True,False,"['nonmatch', 962.1175513194256]",city,city_00301.jpg,True,Good
True,False,"['nonmatch', 965.4555647048209]",highway,highways_00516.jpg,False,Good
True,False,"['match', 968.7741047036179]",office,offices_00677.jpg,True,Good
True,False,"['nonmatch', 972.3016296879961]",highway,highways_00416.jpg,True,Good
True,False,"['nonmatch', 975.272366254649]",city,city_00637.jpg,True,Bad
True,False,"['nonmatch', 978.9951548200722]",beach,beaches_00256.jpg,False,Good
False,True,"['match', 981.8312789393134]",office,offices_00304.jpg,False,Good
False,True,"['match', 985.0485397932895]",beach,beaches_00109.jpg,True,Bad
False,True,"['match', 988.1359166868833]",highway,highways_00571.jpg,True,Bad
True,False,"['nonmatch', 991.0033628766387]",highway,highways_00365.jpg,False,Bad
True,False,"['match', 994.0086206433224]",city,city_00294.jpg,False,Good
True,False,"['nonmatch', 997.8135461917603]",city,city_00178.jpg,False,Bad
False,True,"['match', 1000.7336819621131]",office,offices_00677.jpg,False,Good
True,False,"['match', 1004.0869085444381]",forest,forests_00365.jpg,True,Bad
False,True,"['match', 1007.1803472052636]",mountain,mountains_00380.jpg,False,Bad
True,False,"['nonmatch', 1009.9838330476276]",city,city_00641.jpg,False,Bad
False,True,"['match', 1012.9157606538149]",office,offices_00539.jpg,False,Bad
False,True,"['match', 1016.2215652511704]",forest,forests_20081106_00019.jpg,True,Good
True,False,"['match', 1019.1528461225895]",forest,forests_00410.jpg,True,Bad
False,True,"['match', 1022.1209505204522]",highway,highways_00611.jpg,False,Bad
False,True,"['match', 1130.8353215719494]",city,city_20081106_00076.jpg,False,Bad
False,True,"['match', 1133.6878769911682]",office,offices_00627.jpg,True,Good
False,True,"['match', 1136.5250099599343]",city,city_00351.jpg,True,Bad
True,False,"['nonmatch', 1139.5521214148948]",mountain,mountains_00256.jpg,True,Good
False,True,"['match', 1142.4628484984578]",beach,beaches_00151.jpg,False,Bad
False,True,"['match', 1145.2467318379731]",forest,forests_00599.jpg,True,Good
False,True,"['match', 1148.000963332097]",beach,beaches_00518.jpg,False,Bad
True,False,"['nonmatch', 1150.8560698077586]",forest,forests_00406.jpg,False,Bad
True,False,"['nonmatch', 1153.6230971599853]",highway,highways_00199.jpg,False,Good
True,False,"['nonmatch', 1156.3787548020277]",mountain,mountains_20081106_00069.jpg,True,Good
False,True,"['match', 1159.1959265936864]",beach,beaches_00149.jpg,True,Good
True,False,"['nonmatch', 1161.9635927116644]",office,offices_00621.jpg,True,Good
False,True,"['match', 1164.7417075075437]",office,offices_00678.jpg,False,Good
True,False,"['nonmatch', 1167.5411598147425]",highway,highways_00450.jpg,True,Bad
False,True,"['nonmatch', 1170.3788679591926]",beach,beaches_00201.jpg,True,Bad
True,False,"['nonmatch', 1173.254017896872]",highway,highways_20081106_00084.jpg,False,Bad
False,True,"['match', 1175.9588571421411]",mountain,mountains_00118.jpg,False,Bad
False,True,"['match', 1178.685511218042]",beach,beaches_00508.jpg,True,Bad
False,True,"['match', 1181.3046059844482]",city,city_00464.jpg,False,Bad
False,True,"['match', 1184.5699425330567]",city,city_00504.jpg,True,Bad
False,True,"['match', 1187.2654225236333]",beach,beaches_00508.jpg,False,Bad
False,True,"['match', 1190.2531707845044]",mountain,mountains_00765.jpg,False,Bad
True,False,"['match', 1193.0804033639756]",office,offices_20081106_00092.jpg,True,Bad
False,True,"['match', 1195.8539406510747]",city,city_00135.jpg,False,Bad
False,True,"['match', 1198.6391321590997]",city,city_00331.jpg,False,Bad
True,False,"['nonmatch', 1201.5640036566988]",office,offices_00346.jpg,True,Bad
False,True,"['match', 1204.2277158808924]",highway,highways_00523.jpg,False,Bad
True,False,"['nonmatch', 1207.0069502898828]",office,offices_20081106_00091.jpg,False,Bad
True,False,"['nonmatch', 1209.7419395032396]",beach,beaches_00309.jpg,False,Bad
True,False,"['nonmatch', 1212.4100770954258]",mountain,mountains_00705.jpg,True,Bad
True,False,"['nonmatch', 1217.6013742370321]",city,city_00331.jpg,True,Bad
True,False,"['match', 1220.4377981363969]",forest,forests_20081106_00018.jpg,False,Good
False,True,"['match', 1223.3320871529345]",mountain,mountains_00106.jpg,False,Good
True,False,"['match', 1226.0735020376999]",office,offices_00395.jpg,False,Good
False,True,"['match', 1228.8881422463485]",forest,forests_00299.jpg,False,Good
False,True,"['match', 1231.5415703136748]",highway,highways_00430.jpg,True,Good
True,False,"['match', 1234.427282555579]",forest,forests_20081106_00015.jpg,True,Good
False,True,"['match', 1237.2509107873113]",forest,forests_00168.jpg,True,Bad
False,True,"['match', 1240.1536847763978]",city,city_00625.jpg,False,Good
True,False,"['match', 1242.9775975760128]",forest,forests_00433.jpg,False,Bad
True,False,"['nonmatch', 1245.6505338034947]",mountain,mountains_20081106_00049.jpg,False,Good
True,False,"['nonmatch', 1248.3481111498736]",mountain,mountains_20081106_00081.jpg,False,Bad
True,False,"['nonmatch', 1251.1095441891473]",beach,beaches_00194.jpg,False,Bad
False,True,"['match', 1253.8764777878025]",office,offices_00291.jpg,False,Good
False,True,"['match', 1256.7862940489676]",highway,highways_00373.jpg,True,Good
True,False,"['nonmatch', 1259.5275306507071]",city,city_00189.jpg,False,Good
True,False,"['nonmatch', 1262.7399774870596]",beach,beaches_00246.jpg,True,Bad
False,True,"['match', 1265.3962855379455]",forest,forests_00306.jpg,True,Good
True,False,"['nonmatch', 1268.156875091476]",beach,beaches_00179.jpg,True,Good
True,False,"['nonmatch', 1271.0132321460674]",beach,beaches_00224.jpg,False,Good
False,True,"['match', 1273.9302979836864]",forest,forests_00241.jpg,True,Good
False,True,"['match', 1276.716833408519]",forest,forests_00108.jpg,False,Bad
False,True,"['match', 1279.4979268469788]",forest,forests_00538.jpg,False,Bad
False,True,"['match', 1282.3123946801934]",forest,forests_00267.jpg,False,Good
False,True,"['match', 1285.158854783983]",highway,highways_00414.jpg,False,Good
False,True,"['match', 1288.19773480029]",city,city_00590.jpg,False,Bad
False,True,"['match', 1290.8227519399584]",forest,forests_00230.jpg,False,Bad
False,True,"['match', 1293.5475393197864]",city,city_00613.jpg,True,Good
True,False,"['match', 1296.5215366605516]",city,city_00349.jpg,True,Good
False,True,"['match', 1299.2299117670646]",mountain,mountains_00444.jpg,True,Bad
False,True,"['match', 1303.8954079225687]",beach,beaches_20081106_00009.jpg,True,Good
False,True,"['match', 1306.7582173468468]",highway,highways_00222.jpg,True,Good
False,True,"['match', 1309.5947918986562]",beach,beaches_20081106_00053.jpg,True,Good
True,False,"['match', 1312.375236328732]",mountain,mountains_00657.jpg,True,Bad
False,True,"['match', 1315.1331653460716]",forest,forests_20081106_00001.jpg,True,Good
False,True,"['match', 1317.7630586151126]",mountain,mountains_00686.jpg,True,Bad
True,False,"['match', 1320.6902439853104]",forest,forests_00538.jpg,True,Bad
True,False,"['match', 1323.4774369392399]",forest,forests_00433.jpg,True,Bad
False,True,"['match', 1326.2147565814228]",city,city_00437.jpg,False,Bad
False,True,"['match', 1328.9419895495207]",beach,beaches_00185.jpg,False,Good
False,True,"['match', 1331.64474305802]",city,city_00234.jpg,False,Good
True,False,"['nonmatch', 1334.6555898920333]",city,city_00314.jpg,False,Good
False,True,"['match', 1337.29585124023]",office,offices_00291.jpg,True,Good
False,True,"['match', 1340.0173315439135]",city,city_20081106_00061.jpg,True,Good
True,False,"['nonmatch', 1342.914549442122]",city,city_00454.jpg,False,Bad
False,True,"['match', 1345.6241485846708]",office,offices_00658.jpg,True,Good
True,False,"['nonmatch', 1348.6709635676789]",forest,forests_00334.jpg,False,Good
True,False,"['match', 1351.858332759583]",beach,beaches_00427.jpg,False,Bad
True,False,"['match', 1354.899761406006]",mountain,mountains_00426.jpg,False,Bad
False,True,"['match', 1357.6721536144275]",beach,beaches_20081106_00053.jpg,False,Good
False,True,"['match', 1360.4749267691197]",mountain,mountains_00306.jpg,True,Good
False,True,"['match', 1363.4313349473198]",office,offices_00395.jpg,True,Good
False,True,"['match', 1366.2921615466869]",highway,highways_00512.jpg,False,Bad
False,True,"['match', 1369.227521465687]",office,offices_00512.jpg,True,Bad
True,False,"['nonmatch', 1371.9928353058722]",mountain,mountains_00472.jpg,True,Bad
True,False,"['nonmatch', 1374.8959043915138]",city,city_00309.jpg,True,Good
True,False,"['nonmatch', 1377.6046164502989]",mountain,mountains_00230.jpg,False,Good
True,False,"['match', 1380.5989918024186]",office,offices_00675.jpg,True,Good
False,True,"['match', 1383.8764919477776]",mountain,mountains_00107.jpg,True,Good
False,True,"['match', 1386.5550131501475]",highway,highways_00161.jpg,True,Good
